state_code,income_bucket,loan_purpose,median_loan_amount_male,median_loan_amount_female,median_interest_rate_male,median_interest_rate_female,approvals_male,approvals_female,loan_amount_gap_male_minus_female,interest_rate_gap_male_minus_female
KY,Low,31,75000.0,75000.0,7.5,7.625,1333,1201,0.0,-0.125
OR,High,31,205000.0,165000.0,8.0,8.25,977,545,40000.0,-0.25
NH,High,2,105000.0,105000.0,7.875,7.75,1254,594,0.0,0.125
AR,Low,2,35000.0,35000.0,8.65,8.5,602,470,0.0,0.15000000000000036
PA,Middle,31,105000.0,105000.0,7.0,7.0,5751,2852,0.0,0.0
WY,High,4,95000.0,85000.0,6.99,7.0,185,75,10000.0,-0.009999999999999787
CT,High,1,455000.0,425000.0,6.624,6.625,6921,3449,30000.0,-0.001000000000000334
DE,Low,2,55000.0,55000.0,8.375,8.5,222,280,0.0,-0.125
OR,Low,4,55000.0,55000.0,8.4,8.49,917,895,0.0,-0.08999999999999986
ND,Low,1,175000.0,165000.0,6.35,6.25,1176,758,10000.0,0.09999999999999964
DC,Low,32,205000.0,215000.0,6.125,6.49,30,58,-10000.0,-0.3650000000000002
MD,Low,31,105000.0,105000.0,7.125,7.105,553,596,0.0,0.019999999999999574
MS,Low,4,45000.0,35000.0,8.25,8.25,646,601,10000.0,0.0
MI,Low,1,145000.0,135000.0,6.875,6.875,20316,16241,10000.0,0.0
VA,Middle,32,225000.0,205000.0,6.75,6.75,4283,2426,20000.0,0.0
NV,Middle,1,375000.0,360000.0,6.49,6.5,10832,6704,15000.0,-0.009999999999999787
CA,Low,4,65000.0,65000.0,7.99,7.875,2328,2187,0.0,0.11500000000000021
GA,High,4,105000.0,105000.0,8.6,8.64,3988,1467,0.0,-0.040000000000000924
KS,High,31,155000.0,135000.0,7.125,7.015000000000001,660,246,20000.0,0.10999999999999943
RI,High,31,225000.0,205000.0,7.5,7.49,547,236,20000.0,0.009999999999999787
DC,High,4,195000.0,135000.0,8.27,8.24,176,101,60000.0,0.02999999999999936
DC,Middle,4,85000.0,90000.0,8.5,8.25,65,82,-5000.0,0.25
NE,Low,1,165000.0,155000.0,6.625,6.625,3215,2194,10000.0,0.0
IN,High,2,85000.0,75000.0,8.25,8.19,2611,989,10000.0,0.0600000000000005
CT,Middle,1,285000.0,275000.0,6.5649999999999995,6.5,8398,6167,10000.0,0.0649999999999995
AL,Low,31,75000.0,75000.0,7.375,7.25,1129,1079,0.0,0.125
MD,Middle,2,65000.0,55000.0,8.49,7.99,2013,1533,10000.0,0.5
IN,High,31,165000.0,135000.0,7.625,7.5,1694,424,30000.0,0.125
NM,Low,2,55000.0,55000.0,7.99,7.99,239,310,0.0,0.0
NE,High,31,135000.0,145000.0,7.625,7.625,409,143,-10000.0,0.0
CT,High,4,105000.0,105000.0,7.74,7.6825,1736,848,0.0,0.05750000000000011
SD,Middle,2,55000.0,55000.0,8.25,8.25,409,208,0.0,0.0
NH,Middle,1,325000.0,310000.0,6.75,6.75,3384,2134,15000.0,0.0
MS,Low,1,135000.0,125000.0,6.75,6.75,5632,5096,10000.0,0.0
NV,Middle,4,65000.0,65000.0,9.0,8.99,1458,872,0.0,0.009999999999999787
OH,Low,32,115000.0,105000.0,6.75,6.75,5840,4628,10000.0,0.0
MN,Low,32,145000.0,135000.0,6.625,6.625,1306,956,10000.0,0.0
MO,High,31,185000.0,155000.0,7.375,7.3845,1397,476,30000.0,-0.009500000000000064
ME,Low,31,85000.0,85000.0,7.25,7.24,250,255,0.0,0.009999999999999787
OH,High,32,175000.0,160000.0,7.25,7.25,3407,1318,15000.0,0.0
MD,Middle,31,155000.0,185000.0,6.99,6.75,1109,830,-30000.0,0.2400000000000002
NM,Low,31,115000.0,85000.0,7.22,7.375,248,243,30000.0,-0.15500000000000025
SD,Middle,31,95000.0,105000.0,7.75,7.49,299,128,-10000.0,0.2599999999999998
DC,Middle,1,385000.0,355000.0,6.375,6.49,733,886,30000.0,-0.11500000000000021
SD,Low,31,65000.0,85000.0,7.4,7.125,125,105,-20000.0,0.27500000000000036
ND,Low,4,45000.0,55000.0,7.99,7.875,103,79,-10000.0,0.11500000000000021
WV,Low,31,65000.0,65000.0,6.844,6.625,431,326,0.0,0.2190000000000003
CT,Low,32,165000.0,155000.0,6.5,6.5,575,574,10000.0,0.0
WV,Low,2,45000.0,35000.0,7.5,7.0,343,285,10000.0,0.5
OR,Low,1,235000.0,205000.0,6.5,6.625,2994,2687,30000.0,-0.125
UT,Middle,31,115000.0,115000.0,7.5,7.74,2667,1190,0.0,-0.2400000000000002
GU,Middle,32,355000.0,370000.0,5.875,6.4375,5,2,-15000.0,-0.5625
NV,High,32,305000.0,275000.0,7.5,7.5,846,342,30000.0,0.0
AR,High,4,85000.0,65000.0,8.75,9.0,737,251,20000.0,-0.25
GA,Middle,32,225000.0,215000.0,6.75,6.75,7707,4505,10000.0,0.0
KS,Middle,32,155000.0,155000.0,6.875,6.875,1344,580,0.0,0.0
PR,High,32,265000.0,270000.0,6.75,6.5625,81,20,-5000.0,0.1875
FL,High,32,265000.0,245000.0,7.49,7.375,8166,3205,20000.0,0.11500000000000021
DC,High,1,705000.0,635000.0,6.375,6.49,1812,1307,70000.0,-0.11500000000000021
MS,Middle,32,165000.0,155000.0,6.5,6.5,1150,508,10000.0,0.0
KY,Middle,1,235000.0,225000.0,6.75,6.75,11178,5889,10000.0,0.0
DE,Middle,31,135000.0,165000.0,7.745,7.25,348,228,-30000.0,0.4950000000000001
VA,High,4,105000.0,105000.0,8.5,8.5,4111,1618,0.0,0.0
ME,Low,2,45000.0,45000.0,7.75,7.75,485,466,0.0,0.0
CA,Low,1,225000.0,205000.0,6.5,6.5,7723,6269,20000.0,0.0
ME,High,1,415000.0,385000.0,6.99,6.99,2636,1453,30000.0,0.0
MO,High,2,85000.0,75000.0,7.75,7.765000000000001,2069,902,10000.0,-0.015000000000000568
WY,High,1,405000.0,385000.0,6.75,6.75,860,324,20000.0,0.0
NE,High,2,75000.0,55000.0,7.75,7.75,625,279,20000.0,0.0
AL,Low,2,45000.0,45000.0,8.75,8.625,1012,959,0.0,0.125
NC,Low,1,195000.0,185000.0,6.5,6.5,18397,15464,10000.0,0.0
SC,Middle,1,285000.0,275000.0,6.625,6.625,20014,11962,10000.0,0.0
MD,High,32,235000.0,215000.0,7.0,6.99,2521,1389,20000.0,0.009999999999999787
UT,Middle,2,65000.0,65000.0,7.99,7.99,4378,1964,0.0,0.0
WV,High,32,195000.0,155000.0,6.99,6.625,235,85,40000.0,0.3650000000000002
AZ,Middle,4,65000.0,65000.0,8.95,8.75,4022,2236,0.0,0.1999999999999993
IL,High,32,215000.0,205000.0,7.5,7.375,2742,955,10000.0,0.125
TX,Middle,31,215000.0,195000.0,6.74,6.74,3886,2158,20000.0,0.0
SD,Low,2,35000.0,35000.0,8.25,8.0,155,130,0.0,0.25
CO,High,4,105000.0,105000.0,8.74,8.75,4746,2167,0.0,-0.009999999999999787
DE,Middle,2,75000.0,65000.0,8.25,8.15,611,449,10000.0,0.09999999999999964
SC,Low,1,195000.0,175000.0,6.5,6.5,11951,10462,20000.0,0.0
IA,Low,4,35000.0,35000.0,7.75,7.75,910,834,0.0,0.0
GA,High,1,445000.0,415000.0,6.625,6.75,23820,11018,30000.0,-0.125
MI,Low,4,55000.0,45000.0,8.49,8.5,3521,3038,10000.0,-0.009999999999999787
AK,Low,4,65000.0,70000.0,7.5,7.5875,47,48,-5000.0,-0.08750000000000036
TX,Middle,2,75000.0,65000.0,7.65,7.5,3981,2239,10000.0,0.15000000000000036
IA,Middle,4,45000.0,45000.0,7.75,7.84,1627,975,0.0,-0.08999999999999986
MI,High,32,185000.0,175000.0,7.49,7.25,2697,980,10000.0,0.2400000000000002
MD,Low,1,205000.0,205000.0,6.625,6.5,4414,4390,0.0,0.125
MS,High,1,325000.0,315000.0,6.75,6.875,3367,1110,10000.0,-0.125
AK,Low,31,175000.0,155000.0,6.49,6.5,21,31,20000.0,-0.009999999999999787
VA,High,31,245000.0,245000.0,7.37,7.0,2005,795,0.0,0.3700000000000001
NM,Low,4,55000.0,45000.0,8.25,8.25,306,285,10000.0,0.0
UT,High,32,285000.0,255000.0,7.25,7.375,1608,503,30000.0,-0.125
IA,Middle,31,75000.0,75000.0,7.0,7.03,1153,575,0.0,-0.03000000000000025
VT,Low,1,165000.0,155000.0,6.625,6.625,434,396,10000.0,0.0
MD,Middle,4,65000.0,65000.0,8.545,8.5,2034,1542,0.0,0.04499999999999993
PA,Middle,1,245000.0,245000.0,6.75,6.75,26647,16146,0.0,0.0
NH,High,1,455000.0,435000.0,6.875,6.875,3564,1794,20000.0,0.0
AL,Middle,32,185000.0,165000.0,6.75,6.75,3039,1233,20000.0,0.0
MO,High,4,85000.0,75000.0,8.12,8.25,1923,716,10000.0,-0.13000000000000078
UT,Middle,4,65000.0,55000.0,7.99,7.99,3653,1704,10000.0,0.0
DE,Middle,4,75000.0,55000.0,8.41,8.725000000000001,484,304,20000.0,-0.3150000000000013
MI,Low,2,45000.0,45000.0,8.4,8.49,3545,3082,0.0,-0.08999999999999986
SD,Middle,4,55000.0,55000.0,8.695,8.65,240,107,0.0,0.04499999999999993
WV,Low,4,45000.0,55000.0,7.25,7.0,379,298,-10000.0,0.25
NY,Middle,32,195000.0,195000.0,6.625,6.625,4360,2918,0.0,0.0
LA,Low,32,135000.0,125000.0,6.625,6.625,969,846,10000.0,0.0
CO,High,2,105000.0,105000.0,8.74,8.74,4837,2385,0.0,0.0
IA,Low,2,35000.0,25000.0,7.75,7.5,777,681,10000.0,0.25
ME,Low,4,55000.0,55000.0,7.75,7.89,381,347,0.0,-0.13999999999999968
MI,Low,31,85000.0,75000.0,7.25,7.25,2579,2025,10000.0,0.0
GU,High,31,450000.0,,7.125,,2,,,
VT,Middle,1,275000.0,255000.0,6.625,6.75,1031,822,20000.0,-0.125
CO,High,31,305000.0,275000.0,7.625,7.6375,1911,806,30000.0,-0.012500000000000178
AR,High,2,85000.0,75000.0,8.6375,8.5,730,214,10000.0,0.1374999999999993
CT,High,2,105000.0,105000.0,7.5,7.49,1986,949,0.0,0.009999999999999787
CT,High,31,225000.0,205000.0,7.25,6.99,1493,531,20000.0,0.2599999999999998
VA,High,2,105000.0,105000.0,8.25,8.24,4929,2033,0.0,0.009999999999999787
AZ,Middle,31,195000.0,195000.0,7.25,7.0,1311,768,0.0,0.25
KS,High,1,385000.0,355000.0,6.625,6.75,4488,1885,30000.0,-0.125
CO,Low,32,195000.0,165000.0,6.625,6.625,1677,1410,30000.0,0.0
ID,Low,32,165000.0,145000.0,6.75,6.875,1145,813,20000.0,-0.125
WI,High,32,175000.0,155000.0,7.0,6.99,1503,667,20000.0,0.009999999999999787
RI,High,1,455000.0,425000.0,6.625,6.75,1924,1086,30000.0,-0.125
OR,High,1,515000.0,485000.0,6.75,6.875,9234,5254,30000.0,-0.125
DE,Low,1,215000.0,205000.0,6.625,6.625,1336,1359,10000.0,0.0
NV,Middle,31,175000.0,155000.0,7.125,7.125,493,293,20000.0,0.0
ID,Middle,1,345000.0,335000.0,6.5,6.625,7757,3909,10000.0,-0.125
MA,High,32,305000.0,295000.0,6.99,6.99,2237,1078,10000.0,0.0
AZ,Middle,2,75000.0,65000.0,7.95,7.74,4345,2686,10000.0,0.20999999999999996
ND,Low,2,45000.0,35000.0,7.99,7.18,93,91,10000.0,0.8100000000000005
ND,Low,31,90000.0,85000.0,7.4,6.875,82,66,5000.0,0.5250000000000004
WA,Middle,32,275000.0,255000.0,6.75,6.99,3745,1985,20000.0,-0.2400000000000002
IL,Middle,32,165000.0,165000.0,6.99,6.99,4169,2280,0.0,0.0
IA,Middle,2,45000.0,45000.0,7.75,7.74,1623,887,0.0,0.009999999999999787
KY,Low,1,155000.0,145000.0,6.75,6.75,9684,7169,10000.0,0.0
IA,Low,31,55000.0,55000.0,6.99,7.0,772,707,0.0,-0.009999999999999787
WV,Middle,32,145000.0,145000.0,6.625,6.625,646,279,0.0,0.0
HI,Middle,1,445000.0,405000.0,6.25,6.375,1724,954,40000.0,-0.125
AL,Low,4,55000.0,45000.0,8.3,8.5,1251,1177,10000.0,-0.1999999999999993
AK,Low,2,45000.0,55000.0,7.99,7.5,51,37,-10000.0,0.4900000000000002
NE,High,4,75000.0,75000.0,8.23,8.0,547,227,0.0,0.23000000000000043
SD,Low,4,55000.0,35000.0,7.955,8.25,136,85,20000.0,-0.29499999999999993
AR,Low,1,145000.0,135000.0,6.75,6.75,6669,4991,10000.0,0.0
IN,High,4,95000.0,75000.0,8.25,8.25,2325,693,20000.0,0.0
AR,High,31,255000.0,210000.0,7.375,7.25,704,192,45000.0,0.125
NV,Middle,2,65000.0,65000.0,8.495000000000001,8.25,1300,811,0.0,0.245000000000001
TX,Middle,4,75000.0,75000.0,7.75,7.75,5575,2697,0.0,0.0
