state_code,income_bucket,loan_purpose,median_loan_amount_male,median_loan_amount_female,median_interest_rate_male,median_interest_rate_female,approvals_male,approvals_female,loan_amount_gap_male_minus_female,interest_rate_gap_male_minus_female
NJ,Low,1,195000.0,185000.0,6.625,6.5,3814,3671,10000.0,0.125
ID,High,31,385000.0,365000.0,7.25,7.5,636,165,20000.0,-0.25
OH,Middle,31,105000.0,105000.0,7.75,7.72,4054,1974,0.0,0.03000000000000025
LA,Middle,4,55000.0,55000.0,9.0875,9.0,726,365,0.0,0.08750000000000036
RI,Middle,32,235000.0,235000.0,6.75,6.75,661,394,0.0,0.0
TN,Low,32,155000.0,135000.0,6.625,6.625,4178,3436,20000.0,0.0
ID,High,2,115000.0,105000.0,8.5,8.5,1317,530,10000.0,0.0
PA,Low,1,155000.0,155000.0,6.625,6.625,17675,14025,0.0,0.0
AL,Middle,2,55000.0,55000.0,8.75,8.75,1935,989,0.0,0.0
MA,High,31,255000.0,245000.0,7.49,7.49,3116,1402,10000.0,0.0
MN,Low,4,45000.0,45000.0,7.75,7.715,1189,994,0.0,0.03500000000000014
WI,High,31,135000.0,105000.0,5.875,5.49,2888,1288,30000.0,0.3849999999999998
VA,High,32,255000.0,235000.0,7.125,7.125,3262,1292,20000.0,0.0
MT,Middle,1,325000.0,305000.0,6.625,6.625,2683,1587,20000.0,0.0
GA,Middle,4,65000.0,65000.0,8.95,9.0,4383,2583,0.0,-0.05000000000000071
IL,Middle,2,55000.0,55000.0,8.5,8.5,3699,1846,0.0,0.0
KS,Middle,4,55000.0,45000.0,8.39,8.1425,922,560,10000.0,0.2475000000000005
MD,High,4,105000.0,95000.0,8.5,8.5,2618,1290,10000.0,0.0
AL,Middle,31,125000.0,125000.0,7.5,7.215,1731,722,0.0,0.28500000000000014
AR,High,32,245000.0,255000.0,6.875,6.99,489,157,-10000.0,-0.11500000000000021
ID,Low,31,145000.0,125000.0,7.24,7.08,410,365,20000.0,0.16000000000000014
NH,Low,1,195000.0,175000.0,6.625,6.625,798,664,20000.0,0.0
