lender_id,controlled_groups,avg_gap_male_minus_female,avg_disparate_impact,male_favored_groups,female_favored_groups
54930043BMDE130FJ617,30,-0.007439575736316371,1.018190239324413,12.0,18.0
549300ZTT08EKQRVTR15,10,0.007138415837544254,1.002052080615337,7.0,3.0
549300LG07PXWSIMC813,12,-0.007026794677508538,1.0170938368054339,5.0,7.0
QGPGHQ1ENZOOLJRFTH41,12,-0.00702419762171357,1.009733812010932,5.0,7.0
549300GPO6DWUZR4UY30,10,-0.006947590594223641,1.0122897516776375,6.0,4.0
03D0JEWFDFUS0SEEKG89,82,-0.006697580516977961,1.0267771652787971,38.0,44.0
549300RPOGWJRH63HS39,41,0.006692194547644137,0.9939771132830598,28.0,13.0
549300J6N77Q8OHYNF23,11,0.006622243016661558,0.9917208371568499,7.0,4.0
X05BVSK68TQ7YTOSNR22,281,-0.0066136283510131585,1.1048368135547313,128.0,153.0
C5654JQHZUHN0772B561,39,0.006507186603648996,0.9897942506270567,21.0,18.0
549300PL8ER6H23P0Z91,29,0.006271194990881692,0.9898119723869484,15.0,14.0
549300FX7K8PTEQUU487,32,0.006221016092028359,0.9877977691261511,14.0,17.0
549300BLL6VL7AXWYP56,20,0.006212430420321932,0.9930480306514011,10.0,10.0
DZC62HF6UIZYJ08V1J90,19,0.006092402751328701,1.005413911435693,11.0,8.0
549300DDLYW49R2HCV81,11,-0.0059648679559240825,1.0083389489233616,5.0,6.0
LDVFX8JEECFFE8HRWA73,12,0.005945993537879964,0.9900395931123493,6.0,6.0
549300AENO88GEUWCZ39,18,0.005783628989916523,0.9917678390679422,9.0,9.0
5493005JPZ3LXXMB0S24,13,-0.005473584556024954,1.0083463787311406,7.0,6.0
549300GKFNPRWNS0GF29,82,0.005254642450161353,0.994747435695363,47.0,35.0
6GK3WNTSHBNJOVP1LV97,14,0.004947872853703865,0.9925549685598269,9.0,5.0
254900UL88QFG0E40516,95,-0.0049056114329993844,1.0132250951295503,51.0,44.0
5493009V3WNJX9V2GZ85,11,0.0048752255965970525,1.0167508936382028,6.0,5.0
254900CN1DD55MJDFH69,13,-0.004831330873620767,1.0081366812857042,7.0,6.0
549300VXXDSMSH313G18,14,-0.00476189033424264,1.0174362415441591,5.0,9.0
L9VVX1KT5TFTKS0MLF66,26,0.00472637921452379,1.002524717213724,14.0,12.0
549300DMYENRV818D594,21,0.00471494527711247,0.9987160598848681,11.0,10.0
5493002QRULT2T40BH09,21,-0.004706105430432673,1.0101755703905613,10.0,11.0
549300VMX06UV1F7NS76,13,0.004689969916876988,0.9964361404447638,8.0,5.0
N8T7HW55LK5D2ORCKP39,33,-0.004504333689318278,1.0084944555508135,16.0,17.0
549300F8C5JA44WNMI75,30,0.004466428510950373,0.9984068304004439,16.0,14.0
AD6GFRVSDT01YPT1CS68,190,-0.004397126839305051,1.0212284664254823,86.0,104.0
549300OPCWU6E72WUT29,55,-0.004389741556581175,1.0314793171243788,23.0,32.0
54930034MNPILHP25H80,33,0.0043544814546683675,1.0056178800425188,19.0,14.0
WWB2V0FCW3A0EE3ZJN75,51,-0.004185695237818279,1.0208113142014579,28.0,23.0
5493001PXRJMPLXPG540,11,0.004135314632167476,0.9925743123247447,6.0,5.0
549300VQUTI5IU7GXT57,16,-0.004119955563607603,1.0248723456882232,9.0,7.0
254900NTAC4H10MGSU23,14,0.003935530586651216,0.9950324865762736,6.0,8.0
QFROUN1UWUYU0DVIWD51,88,0.00391224504067449,1.0000454717457983,43.0,44.0
5493000V86JDJLM0OV13,15,0.003900146720176394,1.0304803321257885,10.0,5.0
549300UF3FPC7U6RFC59,17,0.0038899086061202725,0.9888458868573797,9.0,8.0
549300LBCBNR1OT00651,78,-0.003595344057320069,1.0112613247178979,36.0,42.0
FU7RSW4CQQY98A2O7J66,22,0.0033814240523879773,0.9933015781120588,8.0,14.0
549300LXKO1O7CSK5J52,17,0.0031919028555337757,0.997138927313991,9.0,8.0
7DMUJTL9FFTVIAG9H788,18,-0.0031450802641655807,1.0303168853228901,9.0,9.0
SS1TRMSN6BRNMOREEV51,94,-0.0031263453868374436,1.0181951980187338,52.0,42.0
549300KHXD7JSQUZIJ22,14,0.0026725287300319706,0.995375376414682,7.0,7.0
549300GTVXJ2PGXNLM73,13,-0.0026469555191910724,1.007265644653753,6.0,7.0
5493002QI2ILHHZH8D20,17,0.0024549569763856766,1.0008112499937147,9.0,8.0
RVDPPPGHCGZ40J4VQ731,151,0.002418890098024215,1.008545378260193,81.0,69.0
8WH0EE09O9V05QJZ3V89,45,0.0024153830674755296,1.0081069656120067,22.0,23.0
549300OZ550X4QD5PC74,14,0.0022610528821733755,0.9944243986707522,6.0,8.0
